Dataset,Split Num,Optimized validation AUC,Optimized test AUC,Ideal test AUC,Optimized num samples,Ideal num samples
abalone-20_vs_8-9-10,0,0.9820295983086681,0.8232445520581114,0.902088377723971,1833,1930
abalone-20_vs_8-9-10,1,0.975635593220339,0.8860112755461593,0.9756871035940804,1945,2026
abalone-20_vs_8-9-10,2,0.9851694915254237,0.709830866807611,0.877554615926709,1656,1354
abalone-20_vs_8-9-10,3,0.9820295983086681,0.6761501210653753,0.8190072639225182,1593,1465
abalone-20_vs_8-9-10,4,0.9703389830508475,0.9439746300211416,0.952431289640592,1963,1834
abalone-20_vs_8-9-10,5,0.975635593220339,0.8659267089499648,0.9566596194503172,1686,1564
abalone-20_vs_8-9-10,6,0.9820295983086681,0.8158292978208233,0.8936138014527845,1634,1644
abalone-20_vs_8-9-10,7,0.9650423728813559,0.8733262861169838,0.8807258632840029,1782,2055
abalone-20_vs_8-9-10,8,0.9724576271186441,0.8817829457364342,0.8870683579985906,1712,1670
abalone-20_vs_8-9-10,9,0.9798728813559322,0.8669837914023961,0.8796687808315716,1956,1730
abalone-20_vs_8-9-10,10,0.9714587737843552,0.9502118644067797,0.958686440677966,1826,1768
abalone-20_vs_8-9-10,11,0.9713983050847458,0.9577167019027485,0.9640591966173361,2064,2277
abalone-20_vs_8-9-10,12,0.9809725158562368,0.7433414043583535,0.8925544794188862,1914,1717
abalone-20_vs_8-9-10,13,0.9841101694915254,0.6402396053558844,0.8860112755461593,1557,1633
abalone-20_vs_8-9-10,14,0.9767441860465117,0.825363196125908,0.8872578692493946,1841,1481
abalone-20_vs_8-9-10,15,0.9735729386892177,0.8681900726392252,0.9438559322033898,1832,1748
abalone-20_vs_8-9-10,16,0.9777542372881356,0.8733262861169838,0.8796687808315716,1542,1523
abalone-20_vs_8-9-10,17,0.9704016913319239,0.814769975786925,0.8925544794188862,1793,1764
abalone-20_vs_8-9-10,18,0.9841101694915254,0.87015503875969,0.8764975334742777,1729,1690
abalone-20_vs_8-9-10,19,0.9714587737843552,0.7444007263922517,0.9555084745762712,2031,1704
abalone-20_vs_8-9-10,20,0.9693446088794926,0.891495157384988,0.9629237288135593,1937,1985
abalone-20_vs_8-9-10,21,0.9767441860465117,0.7539346246973365,0.8936138014527845,2166,1970
abalone-20_vs_8-9-10,22,0.974630021141649,0.6803874092009685,0.9661016949152542,1934,1837
abalone-20_vs_8-9-10,23,0.9798728813559322,0.8838971106412967,0.8849541930937279,1771,1679
abalone-20_vs_8-9-10,24,0.978813559322034,0.8722692036645525,0.9608879492600423,1870,2006
abalone-20_vs_8-9-10,25,0.9819915254237288,0.7973925299506694,0.8828400281888654,1685,1603
abalone-20_vs_8-9-10,26,0.9798728813559322,0.8680408738548274,0.9513742071881607,1935,1877
abalone-20_vs_8-9-10,27,0.9777542372881356,0.9566596194503172,0.9608879492600423,1851,1641
abalone-20_vs_8-9-10,28,0.9819915254237288,0.8786116983791403,0.8817829457364342,1564,1548
abalone-20_vs_8-9-10,29,0.975635593220339,0.877554615926709,0.9651162790697674,1738,1698
